"premise","hypothesis","label","idx"
"Для наших врагов хорошо, что мы здесь","Для нас хорошо, что мы здесь","not_entailment",1
"Для наших врагов хорошо, что небо синее","Для нас плохо, что небо синее","entailment",2
"Для наших врагов плохо, что эти холмы зеленые","Для нас хорошо, что эти холмы зеленые","entailment",3
"Для наших врагов плохо, что мы роступили именно так","Для нас плохо, что мы роступили именно так","not_entailment",4
"Для наших друзей хорошо, что это здание красное.","Для нас хорошо, что это здание красное.","entailment",5
"Для наших друзей хорошо, что это здание зеленое.","Для нас плохо, что это здание зеленое.","not_entailment",6
"Для наших друзей плохо, что этот человек умер.","Для нас плохо, что этот человек умер.","entailment",7
"Для наших друзей плохо, что курс валют растет.","Для нас хорошо, что курс валют растет","not_entailment",8
"Для наших соперников плохо, что этот автомобиль быстрый.","Для нас плохо, что этот автомобиль быстрый.","not_entailment",9
"Для наших соперников плохо, что этот автомобиль быстрый.","Для нас хорошо, что этот автомобиль быстрый.","entailment",10
"Наши коллеги в восторге, что эта презентация была успешной.","Хорошо, что эта презентация была успешной.","entailment",11
"Наши коллеги в восторге, что эта презентация была успешной.","Плохо, что эта презентация была успешной.","not_entailment",12
"Для наших клиентов не хорошо, что этот продукт дорогой.","Для нас хорошо, что этот продукт дорогой.","not_entailment",13
"Для наших клиентов не хорошо, что этот продукт дорогой.","Для нас плохо, что этот продукт дорогой.","entailment",14
"Для наших клиентов не хорошо, что этот продукт дорогой.","Для нас не хорошо, что этот продукт дорогой.","entailment",15
"Нам повезло, что погода сегодня солнечная.","Хорошо, что погода сегодня солнечная.","entailment",16
"Нам повезло, что погода сегодня солнечная.","Плохо, что погода сегодня солнечная.","not_entailment",17
"Нам повезло, что погода сегодня солнечная.","Не хорошо, что погода сегодня солнечная.","not_entailment",18
"Для наших родителей плохо, что мы опоздали на встречу.","Хорошо, что мы опоздали на встречу.","not_entailment",19
"Для наших родителей плохо, что мы опоздали на встречу.","Плохо, что мы опоздали на встречу.","entailment",20
"Мне не нравятся желтые ковры.","Я люблю желтые ковры.","not_entailment",28
"Мне не нравятся синие смартфоны.","Я не люблю синие смартфоны.","entailment",29
"Для наших конкурентов не хорошо, что наша компания расширяется","Не хорошо, что наша компания расширяется","not_entailment",30
"Для наших конкурентов не хорошо, что наша компания расширяется.","Хорошо, что наша компания расширяется.","entailment",31
"Для наших конкурентов не хорошо, что мы переносим производство.","Плохо, что мы переносим производство","not_entailment",32
"Для наших соперников не хорошо, что мы выиграли этот тендер","Не хорошо, что мы выиграли этот тендер.","not_entailment",33
"Наши враги в ужасе, что модель поступила в продажу.","Ужасно, что модель поступила в продажу.","not_entailment",34
"Наши враги в ужасе, что модель поступила в продажу","Плохо, что модель поступила в продажу.","not_entailment",35
"Я ненавижу поп-музыку.","Я не люблю поп-музыку.","entailment",36
"Мне не нравится натуральный мех.","Мне нравится натуральный мех","not_entailment",37
"Наши враги в ужасе, что американцы выходят на наш рынок","Хорошо, что американцы выходят на наш рынок.","entailment",38
"Для наших родителей не хорошо, что мы поздно начали искать билеты.","Хорошо, что мы поздно начали искать билеты","not_entailment",39
"Бесплатные VPN-сервисы могут стать причиной утечки ваших персональных данных, включая сетевой трафик, пароли и банковские данные.","Пользоваться VPN безопасно","not_entailment",40
